,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,cs_rate,save_pct_proxy,gk_offensive
1638,-0.18277164014068023,-0.2735999630493081,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,0.05395880004166787,-0.40425147250511956,-0.6213339571952319,-0.2393281019071661,0.2219466411622202,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
751,0.27983088743601775,0.17261745177556742,0.26017540743648326,-0.3757550768314987,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,0.37421986822483383,-0.1030451946652893,-0.40425147250511956,-0.6213339571952319,-0.10018385661230199,-0.42136463349490544,1.0032918593011537,0.37421986822483383,-0.2352454750034524
1387,-0.028570797615114253,-0.12973751783254495,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.8856829734902599,-0.40425147250511956,-0.6213339571952319,0.5955373698620186,2.708930942703054,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
480,0.8966342575382817,0.8358477076901365,0.39881366147452063,-0.10933803625911433,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,0.7023416854647494,0.2836881408276703,-0.40425147250511956,-0.6213339571952319,0.3172488792722903,-0.5097175270386403,1.363826249084132,0.7023416854647494,-0.2352454750034524
1157,0.7424334150127156,0.6627251041242012,1.1800864201766612,1.3804312772181389,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,1.1024955510196375,-0.18009211235590972,0.8061192487020843,-0.40425147250511956,1.122184228448569,0.03896038868256211,-1.2499395687898753,-0.17054103766668272,-0.18009211235590972,-0.2352454750034524
1682,0.12563004491045174,0.01900162044241356,0.948123561915037,0.9055359227037857,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,0.47566997234261293,-0.21763982731863235,-0.19934789827872132,-0.40425147250511956,0.9042444552430938,0.7346816151568826,-0.5097175270386403,-0.22676664701724292,-0.21763982731863235,-0.2352454750034524
1406,0.12563004491045174,0.01900162044241356,1.026804632991304,1.048069887585952,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.15415938463032478,-0.250234923974289,0.11978084160840623,-0.40425147250511956,-0.6213339571952319,0.03896038868256211,-0.5836187199673863,-0.27860819326054687,-0.250234923974289,-0.2352454750034524
786,1.0508351000638476,1.013847004314267,1.1096275003206966,1.228390897530594,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,0.5452243614830917,-0.19572164662790584,0.32998576046469313,-0.40425147250511956,-0.6213339571952319,-3.5787899889839045,-0.7729566272024182,-0.19097830685496187,-0.19572164662790584,-0.2352454750034524
2986,-0.9537758527685102,-0.9197617932601935,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-1.3187085738586168,-0.40425147250511956,0.6863046820376187,1.291258596336339,-0.5097175270386403,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2240,-0.33697248266624624,-0.4125857152078759,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.4526542495276893,-0.40425147250511956,-0.6213339571952319,0.4563931245671544,-0.5097175270386403,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2785,-1.1079766952940762,-1.0343640801277845,0.043061297503762856,-0.5872221785817122,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,6.340071090768754,-0.632377663449776,2.2141814815035574,0.2504251356266685,0.1781046339774262,-0.42136463349490544,5.329704536696893,6.340071090768754,-0.2352454750034524
1502,0.27983088743601775,0.17261745177556742,0.8383295181008914,0.6865644893945949,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,1.004664851776005,-0.1518597395813119,0.32998576046469313,-0.40425147250511956,-0.6213339571952319,0.1781046339774262,-0.563016794958239,-0.11108716366441565,-0.1518597395813119,-0.2352454750034524
2131,-0.4911733251918122,-0.5466947743082483,0.711060321453455,0.5289123052455101,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.15515690526938608,1.5582803776259366,2.5392638539063226,0.6863046820376187,0.3172488792722903,1.1079205098681428,-0.16844490749352573,-0.15515690526938608,-0.2352454750034524
2992,-1.2621775378196423,-1.14408967393718,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-1.7517279271791024,-0.40425147250511956,-0.6213339571952319,-1.2133378189712147,-0.5005639193114095,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2257,-0.4911733251918122,-0.5466947743082483,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.632377663449776,-0.40425147250511956,-0.6213339571952319,0.5955373698620186,-0.5097175270386403,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2433,-0.7995750102429442,-0.8002828133344071,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-1.0654053462090707,-0.40425147250511956,0.46836490883214366,0.3172488792722903,-0.5005639193114095,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
1246,0.12563004491045174,0.01900162044241356,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.4526542495276893,-0.40425147250511956,-0.6213339571952319,0.3172488792722903,1.1079205098681428,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2146,-0.18277164014068023,-0.2735999630493081,0.22058335801177947,-0.3757550768314987,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,0.9111464782537866,0.05395880004166787,-0.40425147250511956,-0.6213339571952319,-3.5787899889839045,-0.563016794958239,1.72436063886711,0.9111464782537866,-0.2352454750034524
626,1.3592367851149796,1.3844756767371147,1.354306012855121,1.7142376684937028,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,1.1323889978138872,-0.27482817502195034,1.2391508880615285,-0.40425147250511956,-0.6213339571952319,-2.1873475360352637,0.2219466411622202,-0.3245299177044493,-0.27482817502195034,-0.2352454750034524
